X-axis,Y-axis
-15.136.791.229.248.000,14.617.507.934.570.300
-15.875.316.619.873.000,14.598.587.036.132.800
-16.709.592.819.213.800,1.456.971.435.546.870
-17.528.366.088.867.100,14.532.566.833.496.000
-18.237.804.412.841.700,14.494.642.639.160.100
-18.935.644.149.780.200,144.568.359.375
-19.646.753.311.157.200,1.441.526.336.669.920
-20.325.037.002.563.400,1.436.947.479.248.040
-2.095.118.522.644.040,14.320.684.814.453.100
-21.489.397.048.950.100,14.272.169.494.628.900
-2.202.638.816.833.490,14.219.224.548.339.800
-2.244.026.756.286.620,1.417.884.063.720.700
-22.879.352.569.580.000,1.413.354.034.423.820
-2.330.586.814.880.370,1.408.756.561.279.290
-2.378.533.172.607.420,14.034.658.813.476.500
-2.433.928.871.154.780,13.968.568.420.410.100
-24.845.943.450.927.700,13.901.339.721.679.600
-25.352.251.052.856.400,13.825.015.258.789.000
-2.581.462.860.107.420,13.742.689.514.160.100
-2.617.672.348.022.460,13.663.221.740.722.600
-26.461.408.615.112.300,13.582.044.982.910.100
-26.665.611.267.089.800,1.350.561.065.673.820
-2.686.574.935.913.080,13.428.009.033.203.100
-2.701.297.378.540.030,1.334.993.896.484.370
-27.077.213.287.353.500,13.282.814.025.878.900
-270.914.306.640.625,13.225.765.991.210.900
-27.049.293.518.066.400,1.315.034.637.451.170
-2.694.571.304.321.280,13.083.335.876.464.800
-26.828.256.607.055.600,13.018.185.424.804.600
-26.710.678.100.585.900,12.954.574.584.960.900
-26.571.195.602.416.900,12.891.259.765.625
-26.409.719.467.163.000,12.826.870.727.539.000
-2.614.908.790.588.370,12.743.179.321.289.000
-25.829.792.022.705.000,12.661.263.275.146.400
-25.504.114.151.000.900,1.259.303.970.336.910
-25.054.040.908.813.400,12.516.288.757.324.200
-2.458.294.677.734.370,12.451.753.997.802.700
-24.073.463.439.941.400,12.395.040.893.554.600
-2.353.594.207.763.670,12.346.381.378.173.800
-22.975.263.595.581.000,12.305.318.450.927.700
-2.239.584.732.055.660,12.271.480.560.302.700
-2.185.675.048.828.120,12.245.259.857.177.700
-21.305.749.893.188.400,12.218.071.746.826.100
-20.679.210.662.841.700,12.187.815.856.933.500
-19.963.226.318.359.300,12.153.618.621.826.100
-19.189.054.489.135.700,12.115.951.538.085.900
-18.382.951.736.450.100,12.076.253.509.521.400
-17.559.560.775.756.800,12.039.715.576.171.800
-16.763.654.708.862.300,12.003.633.880.615.200
-15.987.658.500.671.300,11.967.251.586.914.000
-1.523.561.954.498.290,1.193.050.765.991.210
-1.453.746.509.552.000,11.892.021.179.199.200
-13.889.213.562.011.700,11.851.344.299.316.400
-13.174.875.259.399.400,11.806.964.874.267.500
-12.454.338.073.730.400,11.759.766.387.939.400
-11.685.546.875,11.702.092.742.919.900
-1.094.174.575.805.660,11.643.228.912.353.500
-10.238.683.700.561.500,11.581.184.387.207.000
-959.267.520.904.541,11.516.439.056.396.400
-893.924.331.665.039,11.440.145.111.083.900
-8.439.714.431.762.690,11.370.208.740.234.300
-7.999.941.349.029.540,11.301.367.950.439.400
-7.575.229.167.938.230,11.233.685.302.734.300
-7.155.073.165.893.550,11.161.663.055.419.900
-6.702.436.447.143.550,11.079.421.997.070.300
-6.240.483.283.996.580,10.987.962.341.308.500
-5.786.889.553.070.060,10.891.484.069.824.200
-5.394.379.615.783.690,10.796.062.469.482.400
-5.092.001.914.978.020,10.709.648.895.263.600
-4.835.878.849.029.540,10.618.273.162.841.700
-4.676.630.973.815.910,10.540.629.577.636.700
-4.515.038.967.132.560,10.453.475.189.208.900
-4.388.227.462.768.550,10.374.858.856.201.100
-4.263.149.261.474.600,10.282.984.924.316.400
-4.150.527.477.264.400,10.180.724.334.716.700
-406.765.604.019.165,10.071.492.767.333.900
-4.038.964.748.382.560,9.958.851.623.535.150
-4.061.225.414.276.120,986.026.382.446.289
-4.093.754.768.371.580,9.760.516.357.421.870
-4.143.183.708.190.910,9.653.366.088.867.180
-4.243.129.730.224.600,9.529.975.128.173.820
-4.341.181.755.065.910,9.431.792.449.951.170
-4.446.650.505.065.910,93.322.509.765.625
-4.574.624.061.584.470,9.228.450.012.207.030
-4.780.092.716.217.040,9.102.595.520.019.530
-5.020.805.358.886.710,8.991.027.069.091.790
-5.340.595.722.198.480,8.874.514.770.507.810
-5.663.945.198.059.080,8.768.415.069.580.070
-6.043.310.642.242.430,86.682.861.328.125
-6.417.197.227.478.020,8.586.148.071.289.060
-6.893.837.928.771.970,8.495.256.042.480.460
-7.396.020.412.445.060,8.401.927.185.058.590
-796.050.500.869.751,8.303.508.758.544.920
-8.608.080.863.952.630,8.204.505.920.410.150
-9.308.171.272.277.830,8.107.140.350.341.790
-10.011.056.900.024.400,8.010.958.099.365.230
-10.611.725.807.189.900,7.925.374.603.271.480
-1.120.690.631.866.450,7.838.910.675.048.820
-11.919.812.202.453.600,773.664.779.663.086
-12.589.208.602.905.200,7.637.370.300.292.960
-13.297.751.426.696.700,7.529.357.147.216.790
-14.026.613.235.473.600,7.416.752.624.511.710
-14.703.295.707.702.600,7.311.190.032.958.980
-15.369.525.909.423.800,7.206.632.232.666.010
-16.202.945.709.228.500,7.075.493.621.826.170
-16.853.832.244.873.000,6.968.029.022.216.790
-1.756.007.194.519.040,6.841.067.504.882.810
-180.904.483.795.166,674.346.923.828.125
-18.605.148.315.429.600,6.643.629.455.566.400
-19.127.939.224.243.100,6.534.076.690.673.820
-19.598.005.294.799.800,6.427.050.018.310.540
-20.004.186.630.249.000,6.319.198.226.928.710
-20.333.486.557.006.800,6.214.485.168.457.030
-20.589.576.721.191.400,6.110.984.802.246.090
-20.770.004.272.460.900,601.064.453.125
-20.921.316.146.850.500,59.105.525.970.458.900
-2.100.148.582.458.490,5.812.613.296.508.780
-21.008.649.826.049.800,5.719.330.596.923.820
-20.951.120.376.586.900,5.629.954.528.808.590
-20.836.000.442.504.800,5.545.221.710.205.070
-20.710.983.276.367.100,5.460.848.617.553.710
-20.583.873.748.779.200,53.878.318.786.621.000
-20.403.804.779.052.700,5.301.358.413.696.280
-20.148.366.928.100.500,52.067.054.748.535.100
-1.983.732.795.715.330,5.110.305.404.663.080
-19.518.152.236.938.400,5.027.019.500.732.420
-1.911.494.255.065.910,4.939.081.954.956.050
-18.673.757.553.100.500,4.858.759.689.331.050
-1.818.232.536.315.910,47.836.917.877.197.200
-1.773.683.738.708.490,47.187.870.025.634.700
-17.224.836.349.487.300,464.709.358.215.332
-16.643.049.240.112.300,4.569.839.859.008.780
-16.075.599.670.410.100,4.497.702.407.836.910
-15.386.466.979.980.400,4.408.450.698.852.530
-14.687.628.746.032.700,4.319.049.072.265.620
-1.401.952.075.958.250,4.235.505.676.269.530
-13.393.747.329.711.900,4.155.459.976.196.280
-12.740.265.846.252.400,40.705.162.048.339.800
-12.114.089.012.145.900,39.884.056.091.308.500
-11.531.037.330.627.400,391.070.442.199.707
-1.096.340.274.810.790,3.833.694.076.538.080
-10.335.288.047.790.500,3.748.932.647.705.070
-9.852.484.703.063.960,3.681.156.539.916.990
-9.385.244.369.506.830,36.085.289.001.464.800
-8.971.894.264.221.190,3.535.017.013.549.800
-8.621.039.390.563.960,34.600.135.803.222.600
-8.328.286.170.959.470,3.386.035.919.189.450
-8.008.729.934.692.380,33.040.321.350.097.600
-7.760.688.304.901.120,3.232.205.581.665.030
-7.551.303.386.688.230,3.163.144.874.572.750
-7.385.107.040.405.270,30.928.056.716.918.900
-7.288.686.275.482.170,3.033.513.641.357.420
-7.228.798.866.271.970,2.965.654.182.434.080
-7.200.053.691.864.010,28.996.532.440.185.500
-7.197.763.442.993.160,281.455.078.125
-7.216.149.806.976.310,272.447.452.545.166
-7.263.930.320.739.740,26.428.627.014.160.100
-7.343.120.098.114.010,2.548.040.008.544.920
-7.455.368.518.829.340,24.575.721.740.722.600
